partnerISO,2020,2021,2022,2023,2024
Kuwait,681.8,1087.53,2020.16,1780.81,1747.56
Kyrgyzstan,6.02,6.37,8.61,12.91,17.17
Lao People's Dem. Rep.,107.06,225.39,284.74,314.71,849.74
Latvia,547.25,712.04,783.2,663.2,675.73
Lebanon,198.07,198.33,225.16,205.16,268.3
Lesotho,312.51,344.41,343.7,231.33,242.46
Liberia,48.19,80.13,90.15,66.79,73.77
Libya,224.89,2220.06,2421.41,1568.56,1492.25
Lithuania,1386.97,2176.06,2852.45,2210.47,2083.88
Luxembourg,507.18,613.73,764.47,718.28,721.86
Madagascar,626.0,690.49,884.95,737.44,753.23
Malawi,44.29,50.14,60.58,47.18,43.01
Malaysia,45332.96,57840.99,57569.46,47328.33,53849.46
Maldives,16.76,16.41,21.09,14.06,6.36
Mali,2.35,3.46,5.42,7.9,5.68
Malta,176.78,253.31,268.85,229.22,224.18
Marshall Isds,32.6,18.09,20.66,19.07,23.19
Mauritania,6.21,4.59,5.86,14.25,2.92
Mauritius,251.22,269.21,298.98,299.36,244.79
Mexico,328861.8,388357.52,460887.59,480050.58,509963.32
Mongolia,11.84,18.84,27.49,31.13,27.54
Montenegro,5.85,8.02,6.15,17.29,15.61
Montserrat,1.54,1.84,1.89,1.6,5.69
Morocco,1095.59,1337.49,1825.79,1771.82,1983.15
Mozambique,111.62,159.82,181.0,214.29,220.3
Myanmar,1073.93,997.36,1147.09,901.36,683.25
Namibia,91.3,153.44,247.02,135.27,279.55
Nauru,3.76,2.29,2.74,1.19,2.32
Nepal,92.59,117.72,145.72,143.65,128.52
Netherlands,28204.64,36249.61,35420.41,39317.07,35029.72
New Caledonia,31.7,45.39,47.58,24.63,35.36
New Zealand,4375.79,5155.57,5626.6,5794.95,5859.76
Nicaragua,3658.93,4795.65,5950.83,4915.26,4765.52
Niger,79.55,96.75,73.05,47.35,8.5
Nigeria,1555.14,3575.42,4759.25,5849.86,5868.41
Niue,0.53,0.25,2.76,3.24,3.62
Norfolk Isds,0.04,0.05,0.27,0.69,0.19
North Macedonia,164.36,177.99,231.71,290.91,179.32
Norway,4152.72,6997.9,6902.94,6381.63,6879.07
Oman,888.62,1988.75,2926.0,1759.46,1414.8
"Other Asia, nes",62456.53,80736.68,95053.21,89918.87,118730.45
Pakistan,4115.93,5678.27,6482.71,5186.86,5466.28
Palau,0.51,0.58,0.82,0.54,2.33
Panama,711.14,783.57,538.64,553.63,580.86
Papua New Guinea,90.01,80.61,77.81,81.15,80.9
Paraguay,160.55,202.82,289.61,273.54,377.94
Peru,5929.12,7335.93,9327.32,9300.68,10012.67
Philippines,11507.05,14575.5,16820.25,13686.9,14593.41
Pitcairn,0.01,0.05,0.52,0.02,0.01
Poland,8873.02,10161.04,12538.1,13627.6,14079.58
Portugal,4046.97,5168.18,6443.08,6753.22,6882.34
Qatar,1218.14,1905.63,2962.25,2130.46,1873.5
Rep. of Korea,78292.07,98808.17,121311.46,119716.39,135455.73
Rep. of Moldova,60.09,73.9,98.32,115.17,142.05
Romania,2213.16,3043.95,3958.22,4134.09,4033.84
Russian Federation,17711.79,30762.27,14921.38,4902.44,3272.05
Rwanda,33.59,32.08,66.99,39.01,30.96
Saint Helena,5.31,32.09,21.38,6.95,10.8
Saint Kitts and Nevis,50.97,41.17,32.24,22.51,20.46
Saint Lucia,9.1,11.28,11.74,10.78,7.29
Saint Pierre and Miquelon,0.05,0.02,0.03,0.05,3.44
Saint Vincent and the Grenadines,5.95,6.17,8.61,5.57,8.4
Samoa,5.32,10.1,11.27,6.47,5.04
San Marino,12.66,14.18,21.19,19.51,26.14
Sao Tome and Principe,0.93,1.32,0.79,1.8,0.59
Saudi Arabia,9520.66,13930.63,23784.86,16509.36,13186.77
Senegal,104.86,154.71,517.33,165.58,243.69
Serbia,468.62,679.24,890.42,869.92,877.27
Seychelles,8.78,12.05,15.1,11.54,8.07
Sierra Leone,32.77,17.08,17.57,23.52,29.61
Singapore,31140.36,29835.43,32239.68,40710.22,43553.29
Sint Maarten,46.91,49.34,80.75,90.25,101.86
Slovakia,5098.83,5148.32,6917.53,8429.64,8301.3
Slovenia,1221.94,1614.67,2926.76,3956.11,6333.64
Solomon Isds,3.46,2.21,8.4,1.2,1.35
Somalia,0.53,1.19,1.19,3.23,2.6
South Africa,11440.4,15819.26,14596.88,14165.88,14815.83
South Sudan,0.12,0.09,0.03,0.33,0.81
Spain,15925.76,19451.51,23845.25,24076.7,22089.84
Sri Lanka,2552.28,3040.66,3717.54,2976.1,3159.21
State of Palestine,5.92,7.53,12.11,6.81,7.63
Sudan,85.78,19.21,35.12,13.48,13.21
Suriname,183.76,71.45,79.97,81.83,96.64
Sweden,12867.77,15497.35,17315.24,18860.06,18491.95
Switzerland,75504.46,63530.37,61096.16,52815.44,64001.19
Syria,10.39,10.09,9.8,11.75,11.18
Tajikistan,0.87,0.92,1.45,1.03,4.71
Thailand,39221.18,50428.52,63501.47,58684.93,66011.26
Timor-Leste,4.63,6.44,10.94,5.04,6.08
Togo,21.44,19.61,87.84,90.8,97.45
Tokelau,2.63,0.34,0.23,1.46,0.18
Tonga,3.81,3.94,4.16,3.0,3.33
Trinidad and Tobago,2609.95,4430.92,5702.97,3330.1,3489.97
Tunisia,591.85,749.06,779.99,891.22,1154.28
Turkmenistan,15.01,25.06,49.59,1.81,15.67
Turks and Caicos Isds,4.96,5.4,12.74,12.9,11.28
Tuvalu,0.06,0.1,0.21,0.51,0.17
Türkiye,11754.37,17061.29,20245.97,16519.77,17797.58
Uganda,86.77,96.82,178.43,120.7,138.09
Ukraine,1376.07,1988.05,1549.54,1341.76,1230.3
United Arab Emirates,3234.65,6217.12,7267.22,6870.28,7798.44
United Kingdom,50839.85,56949.19,65422.01,64776.97,68830.69
United Rep. of Tanzania,123.87,101.48,180.52,197.93,211.41
Uruguay,586.12,669.95,946.87,914.61,1276.13
Uzbekistan,81.51,189.15,57.73,96.77,44.41
Vanuatu,5.5,6.72,7.22,6.52,14.2
Venezuela,179.32,326.94,448.22,3824.31,6316.63
Viet Nam,83211.92,108195.52,136787.22,118940.05,142475.99
Wallis and Futuna Isds,0.8,0.11,0.14,0.06,0.04
Western Sahara,0.02,0.0,0.0,0.0,0.0
Yemen,4.14,10.8,27.44,7.23,9.33
Zambia,41.47,178.65,138.53,157.19,171.47
Zimbabwe,37.99,44.24,101.8,119.69,69.53
