partnerISO,2020,2021,2022,2023,2024
Kyrgyzstan,32.48,34.07,61.46,141.2,133.14
Lao People's Dem. Rep.,24.76,33.55,40.27,46.61,40.39
Latvia,306.19,414.56,396.38,997.33,545.86
Lebanon,623.93,665.85,765.55,541.75,541.42
Lesotho,2.19,3.24,10.62,3.29,2.79
Liberia,93.15,143.42,261.46,251.23,220.4
Libya,316.45,295.87,290.96,446.26,567.22
Lithuania,1018.75,1237.91,2492.64,2874.68,1929.01
Luxembourg,1353.11,1533.32,1669.09,2365.37,1136.07
Madagascar,34.81,56.84,84.86,61.59,53.41
Malawi,13.21,23.33,36.48,18.19,26.94
Malaysia,12498.46,15171.35,18102.78,19439.25,27700.18
Maldives,24.66,41.3,99.33,68.72,92.61
Mali,99.27,96.66,87.98,100.75,51.5
Malta,157.28,130.16,267.35,423.52,360.82
Marshall Isds,146.53,240.08,269.0,58.06,127.43
Mauritania,127.97,138.39,154.56,171.87,139.76
Mauritius,49.61,78.46,101.47,91.07,47.99
Mexico,212671.75,276458.85,324377.77,323227.9,334041.34
Mongolia,118.9,137.93,148.87,168.15,396.62
Montenegro,36.64,11.9,40.3,45.83,27.68
Montserrat,11.6,10.27,10.91,15.58,12.07
Morocco,2298.59,2759.88,3512.38,3752.35,5268.65
Mozambique,129.01,189.88,230.07,192.74,149.7
Myanmar,338.44,215.03,130.59,171.53,77.15
Namibia,60.15,93.23,217.92,176.5,160.51
Nauru,0.61,1.31,1.02,1.26,0.92
Nepal,93.57,197.27,258.27,62.8,120.89
Netherlands,45508.37,53573.85,72876.62,82186.25,89643.26
New Caledonia,61.05,72.69,77.06,63.37,29.39
New Zealand,3185.11,3721.72,4173.85,4351.77,4493.53
Nicaragua,1429.6,2102.94,2576.79,2370.79,2940.99
Niger,143.87,201.54,95.93,78.06,43.25
Nigeria,2788.42,3865.86,3375.43,2599.32,4174.3
Niue,0.17,0.09,0.49,0.01,0.65
Norfolk Isds,11.71,4.54,0.05,0.13,0.08
North Macedonia,43.81,45.68,54.84,57.21,60.64
Norway,2785.14,3777.79,4704.65,5025.6,4554.79
Oman,1132.93,1399.49,1487.32,1862.41,1954.23
"Other Asia, nes",30496.3,36943.32,43710.24,39773.53,42333.25
Pakistan,2926.37,3546.02,3177.45,2075.5,2135.15
Palau,21.11,26.59,24.48,20.23,20.99
Panama,5766.19,8271.97,12030.21,11203.75,10699.68
Papua New Guinea,62.49,44.31,115.37,129.18,67.2
Paraguay,1274.33,2079.67,2114.88,2765.47,3158.41
Peru,7685.74,10242.46,13745.7,12039.07,11223.79
Philippines,7764.46,9268.86,9290.73,9287.84,9297.31
Pitcairn,0.0,0.01,0.01,4.02,1.09
Poland,4951.23,5895.39,11311.76,10989.84,11943.0
Portugal,1650.34,2318.21,2783.03,2281.54,3048.41
Qatar,3415.51,2587.49,3646.81,4658.19,3804.24
Rep. of Korea,51212.2,65769.49,71469.49,64835.85,65541.46
Rep. of Moldova,49.98,38.0,38.67,72.02,53.63
Romania,913.97,1414.89,1350.1,1304.27,1259.2
Russian Federation,4883.77,6388.25,1715.08,597.27,526.07
Rwanda,27.4,49.88,65.03,38.04,44.76
Saint Helena,4.86,13.26,9.72,0.23,9.02
Saint Kitts and Nevis,136.07,146.95,171.92,178.69,160.15
Saint Lucia,637.46,545.89,991.35,657.85,1043.6
Saint Pierre and Miquelon,0.27,0.0,0.14,0.14,0.05
Saint Vincent and the Grenadines,76.87,102.32,151.16,174.98,143.22
Samoa,26.31,33.37,36.04,32.7,54.4
