,refPeriodId,refYear,refMonth,Export,Import,Balance
0,2023,1,202301,165367.39227,262545.905373,-97178.513103
1,2023,2,202302,158903.625574,237813.657846,-78910.03227199998
2,2023,3,202303,184407.050413,270111.501582,-85704.451169
3,2023,4,202304,162335.030837,257496.245015,-95161.214178
4,2023,5,202305,166622.285362,271281.22753,-104658.94216799998
5,2023,6,202306,167201.631978,265028.649931,-97827.01795300003
6,2023,7,202307,159576.83223,262544.911056,-102968.07882599998
7,2023,8,202308,171447.831169,273088.898301,-101641.067132
8,2023,9,202309,171220.945517,268131.086746,-96910.141229
9,2023,10,202310,178034.414709,283913.308041,-105878.89333199998
10,2023,11,202311,165755.550085,262404.31617,-96648.76608500001
11,2023,12,202312,167669.993627,254111.413485,-86441.41985800001
12,2024,1,202401,160498.257063,260879.611879,-100381.354816
13,2024,2,202402,167351.866311,249332.945142,-81981.07883100002
14,2024,3,202403,179287.157721,266161.780537,-86874.62281599999
15,2024,4,202404,171625.670606,278693.528214,-107067.85760799999
16,2024,5,202405,173085.255341,282715.167019,-109629.91167799997
17,2024,6,202406,174321.127774,272727.87721,-98406.74943600001
18,2024,7,202407,168775.42036,295945.814333,-127170.393973
19,2024,8,202408,180374.942383,285528.538946,-105153.596563
20,2024,9,202409,171395.61412,294239.994334,-122844.38021399998
21,2024,10,202410,176791.074084,296672.773919,-119881.699835
22,2024,11,202411,174278.613277,281624.46866,-107345.85538300002
23,2024,12,202412,166017.612083,292290.001137,-126272.38905399997
24,2025,1,202501,163910.930793,325145.149418,-161234.218625
25,2025,2,202502,167508.062853,295180.206013,-127672.14315999998
26,2025,3,202503,190868.948659,350451.113578,-159582.164919
27,2025,4,202504,188502.222472,283531.938485,-95029.716013
28,2025,5,202505,182922.041808,283680.675817,-100758.63400899997
29,2025,6,202506,179795.625974,272596.27367,-92800.64769600003
30,2025,7,202507,175018.015665,300413.093156,-125395.077491
31,2025,8,202508,179619.870132,270273.898933,-90654.02880099998
32,2025,9,202509,185451.810509,282876.598589,-97424.78808
33,2025,10,202510,202576.70276,281208.801955,-78632.09919499999
